Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m119,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Spreadsheet: num_classes,Spreadsheet: colormap,Spreadsheet: variation,Spreadsheet: condition,Spreadsheet: trial_type,Spreadsheet: question,Spreadsheet: correct_answer,Spreadsheet: group_number
1,1789992007000,21/09/2026 12:00:07,1789992007000,1,21/09/2026 13:00:07,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,1,Display 1,Screen 1,,,response,5,,,,2779.5,,,2779.5,1,2779.5,,,,Response,,,Display1,disc_5_2_tab20sa.png,5,tab20sa,2,sa,discrimination,How many distinct classes do you see?,5,2
2,1789992014000,21/09/2026 12:00:14,1789992014000,1,21/09/2026 13:00:14,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,2,Display 1,Screen 1,,,response,20,,,,5305.7,,,5305.7,1,5305.7,,,,Response,,,Display1,disc_20_2_tab20sa.png,20,tab20sa,2,sa,discrimination,How many distinct classes do you see?,20,2
3,1789992021000,21/09/2026 12:00:21,1789992021000,1,21/09/2026 13:00:21,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,3,Display 1,Screen 1,,,response,5,,,,4436.7,,,4436.7,1,4436.7,,,,Response,,,Display1,disc_5_3_tab20sa.png,5,tab20sa,3,sa,discrimination,How many distinct classes do you see?,5,2
4,1789992028000,21/09/2026 12:00:28,1789992028000,1,21/09/2026 13:00:28,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,4,Display 1,Screen 1,,,response,20,,,,4841.9,,,4841.9,1,4841.9,,,,Response,,,Display1,disc_20_3_tab20sa.png,20,tab20sa,3,sa,discrimination,How many distinct classes do you see?,20,2
5,1789992035000,21/09/2026 12:00:35,1789992035000,1,21/09/2026 13:00:35,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,5,Display 1,Screen 1,,,response,30,,,,8971.0,,,8971.0,1,8971.0,,,,Response,,,Display1,disc_30_1_tab20sa.png,30,tab20sa,1,sa,discrimination,How many distinct classes do you see?,30,2
6,1789992042000,21/09/2026 12:00:42,1789992042000,1,21/09/2026 13:00:42,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,6,Display 1,Screen 1,,,response,10,,,,5290.4,,,5290.4,1,5290.4,,,,Response,,,Display1,disc_10_3_tab20.png,10,tab20,3,baseline,discrimination,How many distinct classes do you see?,10,2
7,1789992049000,21/09/2026 12:00:49,1789992049000,1,21/09/2026 13:00:49,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,7,Display 1,Screen 1,,,response,20,,,,9944.5,,,9944.5,1,9944.5,,,,Response,,,Display1,disc_20_2_tab20.png,20,tab20,2,baseline,discrimination,How many distinct classes do you see?,20,2
8,1789992056000,21/09/2026 12:00:56,1789992056000,1,21/09/2026 13:00:56,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,8,Display 1,Screen 1,,,response,30,,,,8225.4,,,8225.4,1,8225.4,,,,Response,,,Display1,disc_30_2_tab20.png,30,tab20,2,baseline,discrimination,How many distinct classes do you see?,30,2
9,1789992063000,21/09/2026 12:01:03,1789992063000,1,21/09/2026 13:01:03,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,9,Display 1,Screen 1,,,response,5,,,,2432.7,,,2432.7,1,2432.7,,,,Response,,,Display1,disc_5_1_tab20.png,5,tab20,1,baseline,discrimination,How many distinct classes do you see?,5,2
10,1789992070000,21/09/2026 12:01:10,1789992070000,1,21/09/2026 13:01:10,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,10,Display 1,Screen 1,,,response,30,,,,7785.1,,,7785.1,1,7785.1,,,,Response,,,Display1,disc_30_1_tab20.png,30,tab20,1,baseline,discrimination,How many distinct classes do you see?,30,2
11,1789992077000,21/09/2026 12:01:17,1789992077000,1,21/09/2026 13:01:17,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,11,Display 1,Screen 1,,,response,30,,,,13587.5,,,13587.5,1,13587.5,,,,Response,,,Display1,disc_30_2_tab20sa.png,30,tab20sa,2,sa,discrimination,How many distinct classes do you see?,30,2
12,1789992084000,21/09/2026 12:01:24,1789992084000,1,21/09/2026 13:01:24,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,12,Display 1,Screen 1,,,response,10,,,,3949.4,,,3949.4,1,3949.4,,,,Response,,,Display1,disc_10_2_tab20sa.png,10,tab20sa,2,sa,discrimination,How many distinct classes do you see?,10,2
13,1789992091000,21/09/2026 12:01:31,1789992091000,1,21/09/2026 13:01:31,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,13,Display 1,Screen 1,,,response,10,,,,4149.0,,,4149.0,1,4149.0,,,,Response,,,Display1,disc_10_1_tab20sa.png,10,tab20sa,1,sa,discrimination,How many distinct classes do you see?,10,2
14,1789992098000,21/09/2026 12:01:38,1789992098000,1,21/09/2026 13:01:38,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,14,Display 1,Screen 1,,,response,20,,,,7801.2,,,7801.2,1,7801.2,,,,Response,,,Display1,disc_20_1_tab20.png,20,tab20,1,baseline,discrimination,How many distinct classes do you see?,20,2
15,1789992105000,21/09/2026 12:01:45,1789992105000,1,21/09/2026 13:01:45,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,15,Display 1,Screen 1,,,response,30,,,,4895.5,,,4895.5,1,4895.5,,,,Response,,,Display1,disc_30_3_tab20.png,30,tab20,3,baseline,discrimination,How many distinct classes do you see?,30,2
16,1789992112000,21/09/2026 12:01:52,1789992112000,1,21/09/2026 13:01:52,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,16,Display 1,Screen 1,,,response,20,,,,4276.5,,,4276.5,1,4276.5,,,,Response,,,Display1,disc_20_1_tab20sa.png,20,tab20sa,1,sa,discrimination,How many distinct classes do you see?,20,2
17,1789992119000,21/09/2026 12:01:59,1789992119000,1,21/09/2026 13:01:59,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,17,Display 1,Screen 1,,,response,10,,,,3419.5,,,3419.5,1,3419.5,,,,Response,,,Display1,disc_10_2_tab20.png,10,tab20,2,baseline,discrimination,How many distinct classes do you see?,10,2
18,1789992126000,21/09/2026 12:02:06,1789992126000,1,21/09/2026 13:02:06,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,18,Display 1,Screen 1,,,response,20,,,,11156.8,,,11156.8,1,11156.8,,,,Response,,,Display1,disc_20_3_tab20.png,20,tab20,3,baseline,discrimination,How many distinct classes do you see?,20,2
19,1789992133000,21/09/2026 12:02:13,1789992133000,1,21/09/2026 13:02:13,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,19,Display 1,Screen 1,,,response,10,,,,7061.7,,,7061.7,1,7061.7,,,,Response,,,Display1,disc_10_3_tab20sa.png,10,tab20sa,3,sa,discrimination,How many distinct classes do you see?,10,2
20,1789992140000,21/09/2026 12:02:20,1789992140000,1,21/09/2026 13:02:20,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,20,Display 1,Screen 1,,,response,5,,,,4115.9,,,4115.9,0,4115.9,,,,Response,,,Display1,disc_10_1_tab20.png,10,tab20,1,baseline,discrimination,How many distinct classes do you see?,10,2
21,1789992147000,21/09/2026 12:02:27,1789992147000,1,21/09/2026 13:02:27,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,21,Display 1,Screen 1,,,response,5,,,,2640.2,,,2640.2,1,2640.2,,,,Response,,,Display1,disc_5_1_tab20sa.png,5,tab20sa,1,sa,discrimination,How many distinct classes do you see?,5,2
22,1789992154000,21/09/2026 12:02:34,1789992154000,1,21/09/2026 13:02:34,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,22,Display 1,Screen 1,,,response,5,,,,5487.3,,,5487.3,1,5487.3,,,,Response,,,Display1,disc_5_2_tab20.png,5,tab20,2,baseline,discrimination,How many distinct classes do you see?,5,2
23,1789992161000,21/09/2026 12:02:41,1789992161000,1,21/09/2026 13:02:41,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,23,Display 1,Screen 1,,,response,25,,,,4316.6,,,4316.6,0,4316.6,,,,Response,,,Display1,disc_30_3_tab20sa.png,30,tab20sa,3,sa,discrimination,How many distinct classes do you see?,30,2
24,1789992168000,21/09/2026 12:02:48,1789992168000,1,21/09/2026 13:02:48,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_026,S1PUB026,S1_PRIV_026,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,24,Display 1,Screen 1,,,response,5,,,,1585.7,,,1585.7,1,1585.7,,,,Response,,,Display1,disc_5_3_tab20.png,5,tab20,3,baseline,discrimination,How many distinct classes do you see?,5,2
25,1789992175000,21/09/2026 12:02:55,1789992175000,1,21/09/2026 13:02:55,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,1,Display 1,Screen 1,,,response,5,,,,2513.7,,,2513.7,1,2513.7,,,,Response,,,Display1,disc_5_1_tab20.png,5,tab20,1,baseline,discrimination,How many distinct classes do you see?,5,2
26,1789992182000,21/09/2026 12:03:02,1789992182000,1,21/09/2026 13:03:02,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,2,Display 1,Screen 1,,,response,5,,,,7928.1,,,7928.1,1,7928.1,,,,Response,,,Display1,disc_5_2_tab20.png,5,tab20,2,baseline,discrimination,How many distinct classes do you see?,5,2
27,1789992189000,21/09/2026 12:03:09,1789992189000,1,21/09/2026 13:03:09,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,3,Display 1,Screen 1,,,response,30,,,,5521.2,,,5521.2,1,5521.2,,,,Response,,,Display1,disc_30_1_tab20.png,30,tab20,1,baseline,discrimination,How many distinct classes do you see?,30,2
28,1789992196000,21/09/2026 12:03:16,1789992196000,1,21/09/2026 13:03:16,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,4,Display 1,Screen 1,,,response,20,,,,3580.6,,,3580.6,1,3580.6,,,,Response,,,Display1,disc_20_2_tab20sa.png,20,tab20sa,2,sa,discrimination,How many distinct classes do you see?,20,2
29,1789992203000,21/09/2026 12:03:23,1789992203000,1,21/09/2026 13:03:23,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,5,Display 1,Screen 1,,,response,25,,,,8150.7,,,8150.7,0,8150.7,,,,Response,,,Display1,disc_30_3_tab20sa.png,30,tab20sa,3,sa,discrimination,How many distinct classes do you see?,30,2
30,1789992210000,21/09/2026 12:03:30,1789992210000,1,21/09/2026 13:03:30,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,6,Display 1,Screen 1,,,response,5,,,,4431.2,,,4431.2,1,4431.2,,,,Response,,,Display1,disc_5_3_tab20sa.png,5,tab20sa,3,sa,discrimination,How many distinct classes do you see?,5,2
31,1789992217000,21/09/2026 12:03:37,1789992217000,1,21/09/2026 13:03:37,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,7,Display 1,Screen 1,,,response,25,,,,4679.0,,,4679.0,0,4679.0,,,,Response,,,Display1,disc_30_1_tab20sa.png,30,tab20sa,1,sa,discrimination,How many distinct classes do you see?,30,2
32,1789992224000,21/09/2026 12:03:44,1789992224000,1,21/09/2026 13:03:44,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,8,Display 1,Screen 1,,,response,10,,,,2852.2,,,2852.2,1,2852.2,,,,Response,,,Display1,disc_10_1_tab20.png,10,tab20,1,baseline,discrimination,How many distinct classes do you see?,10,2
33,1789992231000,21/09/2026 12:03:51,1789992231000,1,21/09/2026 13:03:51,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,9,Display 1,Screen 1,,,response,5,,,,1999.7,,,1999.7,1,1999.7,,,,Response,,,Display1,disc_5_2_tab20sa.png,5,tab20sa,2,sa,discrimination,How many distinct classes do you see?,5,2
34,1789992238000,21/09/2026 12:03:58,1789992238000,1,21/09/2026 13:03:58,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,10,Display 1,Screen 1,,,response,10,,,,4483.5,,,4483.5,1,4483.5,,,,Response,,,Display1,disc_10_2_tab20.png,10,tab20,2,baseline,discrimination,How many distinct classes do you see?,10,2
35,1789992245000,21/09/2026 12:04:05,1789992245000,1,21/09/2026 13:04:05,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,11,Display 1,Screen 1,,,response,10,,,,5293.6,,,5293.6,1,5293.6,,,,Response,,,Display1,disc_10_3_tab20.png,10,tab20,3,baseline,discrimination,How many distinct classes do you see?,10,2
36,1789992252000,21/09/2026 12:04:12,1789992252000,1,21/09/2026 13:04:12,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,12,Display 1,Screen 1,,,response,5,,,,3808.2,,,3808.2,1,3808.2,,,,Response,,,Display1,disc_5_3_tab20.png,5,tab20,3,baseline,discrimination,How many distinct classes do you see?,5,2
37,1789992259000,21/09/2026 12:04:19,1789992259000,1,21/09/2026 13:04:19,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,13,Display 1,Screen 1,,,response,15,,,,6152.8,,,6152.8,0,6152.8,,,,Response,,,Display1,disc_20_3_tab20sa.png,20,tab20sa,3,sa,discrimination,How many distinct classes do you see?,20,2
38,1789992266000,21/09/2026 12:04:26,1789992266000,1,21/09/2026 13:04:26,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,14,Display 1,Screen 1,,,response,10,,,,3032.1,,,3032.1,1,3032.1,,,,Response,,,Display1,disc_10_2_tab20sa.png,10,tab20sa,2,sa,discrimination,How many distinct classes do you see?,10,2
39,1789992273000,21/09/2026 12:04:33,1789992273000,1,21/09/2026 13:04:33,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,15,Display 1,Screen 1,,,response,20,,,,3907.1,,,3907.1,1,3907.1,,,,Response,,,Display1,disc_20_3_tab20.png,20,tab20,3,baseline,discrimination,How many distinct classes do you see?,20,2
40,1789992280000,21/09/2026 12:04:40,1789992280000,1,21/09/2026 13:04:40,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,16,Display 1,Screen 1,,,response,25,,,,7470.3,,,7470.3,0,7470.3,,,,Response,,,Display1,disc_30_2_tab20sa.png,30,tab20sa,2,sa,discrimination,How many distinct classes do you see?,30,2
41,1789992287000,21/09/2026 12:04:47,1789992287000,1,21/09/2026 13:04:47,229051,38,synthetic-g2,,SYN-S1-S1_PRIV_027,S1PUB027,S1_PRIV_027,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G2,SYNTHETIC,G2,G2,G2,17,Display 1,Screen 1,,,response,25,,,,12705.2,,,12705.2,0,12705.2,,,,Response,,,Display1,disc_30_2_tab20.png,30,tab20,2,baseline,discrimination,How many distinct classes do you see?,30,2
